file                                       parity/total   setup_ok   timing summary
select.slt                                 8/132          3/47       n=8 ratio(duck/sloth) median=4.59x p10=1.64x p90=8.04x sloth_total=1ms duck_total=3ms
set_variable.slt                           0/5            0/1        n=0
simplify_expr.slt                          0/9            0/2        n=0
simplify_predicates.slt                    0/0            2/2        n=0
slt_features.slt                           7/9            0/0        n=7 ratio(duck/sloth) median=4.41x p10=2.16x p90=5.67x sloth_total=0ms duck_total=2ms
sort_merge_join.slt                        0/66           3/18       n=0
sort_pushdown.slt                          0/120          0/176      n=0
statistics_registry.slt                    0/5            0/6        n=0
string_numeric_coercion.slt                2/50           0/18       n=2 ratio(duck/sloth) median=9.38x p10=4.13x p90=9.38x sloth_total=0ms duck_total=1ms
strings.slt                                1/13           0/2        n=1 ratio(duck/sloth) median=5.98x p10=5.98x p90=5.98x sloth_total=0ms duck_total=1ms
struct.slt                                 0/137          0/91       n=0
subquery.slt                               1/93           11/52      n=1 ratio(duck/sloth) median=7.69x p10=7.69x p90=7.69x sloth_total=0ms duck_total=1ms
subquery_sort.slt                          0/4            0/3        n=0
table_functions.slt                        4/64           0/0        n=4 ratio(duck/sloth) median=3.12x p10=1.95x p90=4.07x sloth_total=0ms duck_total=1ms
to_timestamp_timezone.slt                  0/24           0/0        n=0
topk.slt                                   0/11           0/5        n=0
truncate.slt                               0/0            2/4        n=0
type_coercion.slt                          0/9            0/3        n=0
union.slt                                  5/36           13/29      n=5 ratio(duck/sloth) median=9.96x p10=3.07x p90=20.16x sloth_total=0ms duck_total=3ms
union_by_name.slt                          0/30           8/8        n=0
union_function.slt                         0/3            0/0        n=0
unnest.slt                                 0/98           0/18       n=0
update.slt                                 0/0            2/2        n=0
wildcard.slt                               0/8            0/8        n=0
window.slt                                 6/275          7/72       n=6 ratio(duck/sloth) median=10.93x p10=0.24x p90=13.06x sloth_total=23ms duck_total=9ms
window_limits.slt                          0/30           0/1        n=0
window_topk_pushdown.slt                   0/2            0/1        n=0
window_topn.slt                            0/14           0/4        n=0
----------------------------------------------------------------------------------------------------------------------------------
OVERALL: parity 388/5806 (6.7%), disagree 197, setup_ok_both 465, setup_fail_sloth_only 316, setup_fail_duck_only 0
SPEEDUP: n=388 ratio(duck/sloth) median=5.61x p10=3.66x p90=10.16x sloth_total=53ms duck_total=185ms
